krs,name,hasc_2,bundesland,centr_lon,centr_lat,x_epsg5243,y_epsg5243,total_area_epsg5243
08415,Reutlingen,DE.BW.RU,Baden-Württemberg,9.365726323149856,48.406476347497446,-83984.94803661417,-287669.8716539131,1092787859.8265173
08416,Tübingen,DE.BW.TB,Baden-Württemberg,8.987634049373645,48.481737917085276,-111816.8113995549,-278788.6786472371,520268221.6365606
08417,Zollernalbkreis,DE.BW.ZL,Baden-Württemberg,8.937428393344332,48.26723888935653,-116029.6145916812,-302563.3955076989,917680844.9669485
08421,Ulm,DE.BW.UM,Baden-Württemberg,9.950021182589513,48.390832828716164,-40742.153915545845,-289896.2301468055,119391631.50544879
08425,Alb-Donau-Kreis,DE.BW.AD,Baden-Württemberg,9.827447195593075,48.40171140795538,-49834.03812078854,-288627.62324582774,1357693002.791244
08426,Biberach,DE.BW.BR,Baden-Württemberg,9.774254433133105,48.10758263947215,-54059.96099775602,-321275.74070580595,1411172578.116733
08435,Bodenseekreis,DE.BW.BD,Baden-Württemberg,9.400770021262247,47.73346028366682,-82489.43035700478,-362559.1746287308,666439288.8638899
08436,Ravensburg,DE.BW.RV,Baden-Württemberg,9.779894551588121,47.82504412999691,-53947.40253260575,-352722.15623302443,1634447592.25187
08437,Sigmaringen,DE.BW.SG,Baden-Württemberg,9.241003469749051,48.039151517204736,-93920.42277728497,-328375.9594436412,1205863939.8327112
09161,Ingolstadt,DE.BY.IG,Bayern,11.395006923248104,48.7550927640177,65803.89439291252,-249136.31683659018,133518743.13184534
09162,München,DE.BY.MU,Bayern,11.547244183928148,48.153213186947106,77951.76657140796,-315921.84051275015,311683426.1437904
09163,Rosenheim,DE.BY.RH,Bayern,12.108724804330015,47.84437776233926,120488.05052210925,-349517.84436905454,36484606.48027724
09171,Altötting,DE.BY.AT,Bayern,12.705282700813902,48.209804445119275,163934.6194587225,-307731.7765321384,569798900.2719653
09172,Berchtesgadener Land,DE.BY.BL,Bayern,12.901866097535788,47.69847234288574,180416.2088518842,-364154.4674677097,841042769.0722743
09173,Bad Tölz-Wolfratshausen,DE.BY.BW,Bayern,11.483115386257902,47.727477113287335,73804.67868790402,-363383.56929918466,1113547273.1735651
09174,Dachau,DE.BY.DC,Bayern,11.357112757055427,48.33454823233665,63565.44761336752,-295937.62147588975,579823409.4754771
09175,Ebersberg,DE.BY.EE,Bayern,11.913172140476899,48.07617763179251,105353.08479120981,-324040.6182934272,550366360.6120884
09176,Eichstätt,DE.BY.EC,Bayern,11.370387277541171,48.89808755327596,63806.85482598187,-233254.06080167968,1213935627.25274
09177,Erding,DE.BY.ED,Bayern,12.000624690819416,48.30039710975645,111358.29370289014,-298971.4095856512,871248384.9676999
09178,Freising,DE.BY.FE,Bayern,11.740671671371645,48.44735696306797,91779.39286104353,-282994.20908784453,798751655.798909
09179,Fürstenfeldbruck,DE.BY.FF,Bayern,11.20107763025289,48.18779331807447,52147.93998424241,-312381.34640224243,435003298.3926375
09180,Garmisch-Partenkirchen,DE.BY.GP,Bayern,11.129628609264762,47.556348998438715,47435.19510556979,-382695.51710282895,1013720419.3657144
09181,Landsberg am Lech,DE.BY.LL,Bayern,10.948734724360511,48.02443540126682,33487.74672329983,-330714.9270771971,804504599.9942383
09182,Miesbach,DE.BY.ME,Bayern,11.80898971805269,47.74164539397909,98252.49587018478,-361406.00902360515,868238906.5082632
09183,Mühldorf am Inn,DE.BY.MI,Bayern,12.381828069587105,48.23931451987283,139797.98604575385,-305116.50189824303,805726047.0956986
